05/07/2023 14:07:08
User name: Gabs
Comments: programa 3
Time (min)	Weight (mg)	Deriv. Weight (%/°C)	Relative Mass (%)	Temperature (°C)	Balance Purge Flow (mL/min)	Sample Purge Flow (mL/min)
1.904167	6.527528	0.07414926	98.90403735836821	38.45912	40.00753	59.99684
1.9125	6.527238	0.07399399	98.89964332576751	38.53962	39.9946	60.00299
1.920834	6.527024	0.07389729	98.89640083274494	38.6182	39.95806	60.02564
1.929166	6.526753	0.07383853	98.89229468503878	38.70084	40.05606	59.96469
1.9375	6.52637	0.07378928	98.88649153163855	38.78009	39.97851	60.03193
1.945834	6.525839	0.07372964	98.87844590642833	38.85994	39.99237	59.9803
1.954166	6.525195	0.07362603	98.86868812368748	38.94044	39.99313	60.00731
1.9625	6.524688	0.07348218	98.86100614255456	39.02031	40.02269	59.98792
1.970833	6.524474	0.0733427	98.85776364953196	39.09765	40.00602	59.9992
1.979166	6.524365	0.07325788	98.85611209934757	39.18086	39.99719	60.01626
1.9875	6.524066	0.07321986	98.85158170021789	39.25736	39.97502	59.99524
1.995833	6.52356	0.07317652	98.84391487092151	39.34024	40.01748	60.03997
2.004166	6.52303	0.07310005	98.83588439754783	39.41868	40.00819	59.94705
2.0125	6.52249	0.07299147	98.82770240580861	39.49916	39.98831	60.00186
2.020833	6.522086	0.07285603	98.82158106384075	39.58036	40.01894	60.01151
2.029167	6.52184	0.07272786	98.81785371204845	39.65899	39.97663	59.98803
2.0375	6.521678	0.07264228	98.81539911452667	39.73903	40.00524	59.9895
2.045834	6.52139	0.07259698	98.8110353855991	39.81931	39.99156	60.01686
2.054166	6.520844	0.07254179	98.80276248284055	39.89946	39.99675	60.02564
2.0625	6.520166	0.0724313	98.79248953765686	39.97924	40.04707	59.97744
2.070834	6.519715	0.07227738	98.78565605937096	40.05919	39.95729	59.98696
2.079166	6.519438	0.0721323	98.78145900064548	40.13903	40.04751	59.99828
2.0875	6.519239	0.07201407	98.7784437851712	40.21865	39.9344	60.00742
2.095833	6.519	0.07193576	98.77482249623478	40.30005	40.02947	59.99715
2.104167	6.518678	0.07188457	98.76994360486437	40.37806	40.00126	60.01312
2.1125	6.518111	0.07182462	98.76135251353817	40.45828	40.00834	59.99824
2.120834	6.517504	0.07172413	98.75215534874982	40.53972	39.97837	59.9841
2.129166	6.517066	0.07158342	98.74551884433912	40.62033	39.99435	59.98982
2.1375	6.51692	0.07144366	98.74330667620222	40.69772	40.00512	60.02742
2.145833	6.516709	0.07134179	98.7401096386893	40.77856	40.01443	59.98326
2.154167	6.516387	0.0712772	98.7352307473189	40.85822	39.99414	60.03206
2.1625	6.515957	0.07121186	98.72871545760063	40.9378	39.98987	59.9746
2.170834	6.515449	0.07112555	98.72101832463113	41.0186	40.00832	59.99965
2.179166	6.514899	0.07100525	98.71268481452637	41.09896	40.01951	60.02201
