08/02/2023 12:57:15
User name: Mateus
Comments: 
Number	time(s)	mass(g)	Relative_mass(%)	Sample_T(C)	PV(C)	SV(C)
1160.0	2318.153	0.2321	96.2272	121.75	175.0	174.0
1161.0	2320.153	0.2321	96.2272	122.0	175.0	174.0
1162.0	2322.153	0.232	96.18574	122.25	175.0	174.0
1164.0	2326.153	0.232	96.18574	122.5	177.0	175.0
1165.0	2328.153	0.232	96.18574	122.75	177.0	175.0
1167.0	2332.153	0.232	96.18574	123.0	177.0	175.0
1168.0	2334.153	0.2319	96.14428	123.25	177.0	175.0
1170.0	2338.153	0.2319	96.14428	123.5	177.0	176.0
1173.0	2344.153	0.2318	96.10282	123.75	178.0	176.0
1176.0	2350.153	0.2318	96.10282	124.0	178.0	177.0
1179.0	2356.153	0.2318	96.10282	124.25	178.0	177.0
1181.0	2360.153	0.2318	96.10282	124.5	178.0	178.0
1183.0	2364.153	0.2318	96.10282	124.75	178.0	178.0
1185.0	2368.153	0.2317	96.06136	125.0	178.0	178.0
1186.0	2370.153	0.2317	96.06136	125.25	179.0	179.0
1188.0	2374.153	0.2316	96.0199	125.75	179.0	179.0
1190.0	2378.153	0.2316	96.0199	126.0	180.0	179.0
1191.0	2380.153	0.2315	95.97844	126.25	180.0	179.0
1192.0	2382.153	0.2315	95.97844	126.5	180.0	180.0
1193.0	2384.153	0.2315	95.97844	126.75	182.0	180.0
1194.0	2386.153	0.2315	95.97844	127.0	182.0	180.0
1196.0	2390.153	0.2315	95.97844	127.25	182.0	180.0
1197.0	2392.155	0.2315	95.97844	127.5	182.0	180.0
1198.0	2394.155	0.2315	95.97844	127.75	183.0	181.0
1200.0	2398.155	0.2315	95.97844	128.0	183.0	181.0
1202.0	2402.155	0.2314	95.93698	128.25	183.0	181.0
1203.0	2404.155	0.2314	95.93698	128.5	183.0	181.0
1207.0	2412.155	0.2314	95.93698	128.75	183.0	182.0
1209.0	2416.155	0.2313	95.89552	129.0	183.0	182.0
1211.0	2420.155	0.2312	95.85406	129.25	183.0	183.0
1213.0	2424.155	0.2311	95.8126	129.5	184.0	183.0
1216.0	2430.155	0.2311	95.8126	129.75	184.0	184.0
1217.0	2432.155	0.231	95.77114	130.0	184.0	184.0
1219.0	2436.155	0.231	95.77114	130.25	184.0	184.0
1220.0	2438.155	0.231	95.77114	130.5	184.0	184.0
1222.0	2442.155	0.231	95.77114	130.75	185.0	185.0
1223.0	2444.155	0.231	95.77114	131.0	185.0	185.0
1225.0	2448.155	0.231	95.77114	131.25	186.0	185.0
1226.0	2450.155	0.2309	95.72968	131.5	186.0	185.0
1228.0	2454.155	0.2309	95.72968	131.75	186.0	186.0
1229.0	2456.155	0.2309	95.72968	132.0	188.0	186.0
1231.0	2460.155	0.2309	95.72968	132.25	188.0	186.0
1232.0	2462.155	0.2309	95.72968	132.5	188.0	186.0
1234.0	2466.155	0.2308	95.68823	132.75	188.0	187.0
1236.0	2470.155	0.2308	95.68823	133.0	188.0	187.0
1238.0	2474.155	0.2308	95.68823	133.25	189.0	187.0
1241.0	2480.155	0.2307	95.64677	133.5	189.0	188.0
1244.0	2486.155	0.2307	95.64677	133.75	189.0	188.0
1247.0	2492.155	0.2306	95.60531	134.0	189.0	189.0
1249.0	2496.155	0.2306	95.60531	134.25	189.0	189.0
1251.0	2500.155	0.2305	95.56385	134.5	189.0	189.0
1252.0	2502.155	0.2305	95.56385	134.75	189.0	190.0
1254.0	2506.155	0.2305	95.56385	135.0	190.0	190.0
1255.0	2508.155	0.2304	95.52239	135.25	190.0	190.0
1256.0	2510.155	0.2304	95.52239	135.5	190.0	190.0
1257.0	2512.155	0.2304	95.52239	135.75	191.0	190.0
1258.0	2514.155	0.2304	95.52239	136.0	191.0	191.0
1259.0	2516.155	0.2304	95.52239	136.25	192.0	191.0
1260.0	2518.155	0.2304	95.52239	136.5	192.0	191.0
1261.0	2520.155	0.2304	95.52239	136.75	192.0	191.0
1262.0	2522.155	0.2305	95.56385	137.0	192.0	191.0
1263.0	2524.155	0.2305	95.56385	137.25	194.0	191.0
1264.0	2526.155	0.2305	95.56385	137.5	194.0	192.0
1266.0	2530.155	0.2305	95.56385	137.75	194.0	192.0
1268.0	2534.155	0.2306	95.60531	138.0	194.0	192.0
1269.0	2536.155	0.2305	95.56385	138.25	194.0	192.0
1271.0	2540.155	0.2303	95.48093	138.5	195.0	193.0
1274.0	2546.155	0.2303	95.48093	138.75	195.0	193.0
1275.0	2548.155	0.2304	95.52239	139.0	195.0	193.0
1279.0	2556.155	0.2301	95.39801	139.25	195.0	194.0
1282.0	2562.155	0.2299	95.31509	139.5	194.0	195.0
1283.0	2564.155	0.23	95.35655	139.75	195.0	195.0
1285.0	2568.155	0.2302	95.43947	140.0	195.0	195.0
1287.0	2572.155	0.2301	95.39801	140.25	195.0	195.0
1288.0	2574.155	0.23	95.35655	140.5	196.0	196.0
1290.0	2578.155	0.2299	95.31509	141.0	196.0	196.0
1292.0	2582.155	0.2299	95.31509	141.25	197.0	196.0
1293.0	2584.155	0.2298	95.27363	141.5	197.0	196.0
1294.0	2586.155	0.2298	95.27363	141.75	197.0	197.0
1295.0	2588.155	0.2297	95.23217	142.0	199.0	197.0
1297.0	2592.155	0.2297	95.23217	142.25	199.0	197.0
1299.0	2596.155	0.2296	95.19071	142.5	199.0	197.0
1300.0	2598.155	0.2296	95.19071	142.75	199.0	198.0
1301.0	2600.155	0.2296	95.19071	143.0	199.0	198.0
1302.0	2602.155	0.2297	95.23217	143.25	200.0	198.0
1305.0	2608.155	0.2296	95.19071	143.5	200.0	198.0
1309.0	2616.155	0.2295	95.14925	143.75	200.0	199.0
1313.0	2624.155	0.2295	95.14925	144.0	199.0	200.0
1316.0	2630.155	0.2294	95.10779	144.25	200.0	200.0
1318.0	2634.155	0.2293	95.06633	144.5	200.0	201.0
1319.0	2636.155	0.2293	95.06633	144.75	200.0	201.0
1320.0	2638.155	0.2292	95.02488	145.0	201.0	201.0
